deck_id,deck_source,cmc,name,type,price
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$5.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.59
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Immolation Shaman,Creature,$0.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$11.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$1.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$74.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$1.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$4.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$12.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Redirect Lightning,Instant,$12.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$10.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Untimely Malfunction,Instant,$9.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Wild Magic Surge,Instant,$2.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cathartic Reunion,Sorcery,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$1.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.69
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.69
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$16.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$0.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$49.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Rain of Embers,Sorcery,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tormenting Voice,Sorcery,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Vandalblast,Sorcery,$3.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Volcanic Spray,Sorcery,$1.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Wheel of Fortune,Sorcery,$449.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Witch's Mark,Sorcery,$0.35
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Champion's Helm,Artifact,$2.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Chrome Mox,Artifact,$159.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Commander's Plate,Artifact,$39.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cursed Mirror,Artifact,$2.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fellwar Stone,Artifact,$1.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fire Diamond,Artifact,$0.69
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Hammer of Nazahn,Artifact,$19.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hazoret's Monument,Artifact,$2.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Heraldic Banner,Artifact,$0.69
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Lightning Greaves,Artifact,$5.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Liquimetal Torque,Artifact,$3.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mind Stone,Artifact,$0.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Mithril Coat,Artifact,$32.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$15.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sol Ring,Artifact,$2.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Swiftfoot Boots,Artifact,$3.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Burning Earth,Enchantment,$3.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Leyline of Combustion,Enchantment,$0.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Manabarbs,Enchantment,$5.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Pyrohemia,Enchantment,$7.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Repercussion,Enchantment,$9.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Roiling Vortex,Enchantment,$2.29
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Spellshock,Enchantment,$3.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Sulfuric Vortex,Enchantment,$1.79
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Underworld Breach,Enchantment,$7.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Ancient Tomb,Land,$149.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Arena of Glory,Land,$17.99
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Castle Embereth,Land,$0.49
T9nWsnjeOTbl-V_Lm3mUZg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Mountain,Land,$0.35
