deck_id,deck_source,cmc,name,type,price
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$37.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.29
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$1.29
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.39
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Kindlespark Duo,Creature,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$4.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$29.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Toralf, God of Fury",Creature,$5.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.69
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$19.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$15.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$1.49
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flick a Coin,Instant,$0.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.69
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Lightning Strike,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$1.49
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$12.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Skullcrack,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spark Spray,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Unexpected Windfall,Instant,$3.49
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Unleash Fury,Instant,$0.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Untimely Malfunction,Instant,$8.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Acidic Soil,Sorcery,$0.49
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Boltwave,Sorcery,$3.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$1.79
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.69
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$0.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.49
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$39.99
TxuEeFXAWaL93Q-LlZyxcA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
