deck_id,deck_source,cmc,name,type,price
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Agate Instigator,Creature,$7.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.79
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$9.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Fear of Burning Alive,Creature,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$6.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Imodane, the Pyrohammer",Creature,$0.79
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Pain Distributor,Creature,$7.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Panicked Altisaur,Creature,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.29
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Fireweaver,Creature,$0.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$10.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Solemn Simulacrum,Creature,$0.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$22.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$2.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$74.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Lightning Strike,Instant,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$10.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$5.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$12.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$15.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$1.29
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.69
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$54.99
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Romantic Rendezvous,Sorcery,$0.35
UBQxhrwA4Sb-OoKOBjg3Bg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seize the Spoils,Sorcery,$0.99
