deck_id,deck_source,cmc,name,type,price
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$17.99
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,7,Dragon Mage,Creature,$0.39
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,1,Dragonmaster Outcast,Creature,$0.99
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.59
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.39
VHg7OHbsF0D_ZhI9kHlilg,https://moxfield.com/decks/L8H9FDt9tk-o40LCLMY6bw?utm_source=edhrec&utm_medium=deck_summary,5,Hoarding Dragon,Creature,$0.35
