deck_id,deck_source,cmc,name,type,price
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Chandra's Magmutt,Creature,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$4.99
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Tunneling Geopede,Creature,$0.69
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$2.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Brute Force,Instant,$0.39
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.69
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Comet Storm,Instant,$3.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Crimson Wisps,Instant,$2.49
V_G5lSr9uqfquW7h2x8lXQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Expedite,Instant,$0.35
