deck_id,deck_source,cmc,name,type,price
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$1.79
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$7.49
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,4,Keral Keep Disciples,Creature,$0.39
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$39.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.59
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Pyrohelix,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Strike,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.39
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$1.29
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$4.49
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Thunderbolt,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,3,Wyll's Reversal,Instant,$4.99
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,2,Arc Trail,Sorcery,$0.35
VbY96o-9n_n6RMJTZa3-Uw,https://archidekt.com/decks/25805514?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
