deck_id,deck_source,cmc,name,type,price
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$11.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$3.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,"General Kreat, the Boltbringer",Creature,$13.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$23.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Molten Gatekeeper,Creature,$0.79
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$7.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$32.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Scab-Clan Berserker,Creature,$0.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Nemesis,Creature,$7.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Weftstalker Ardent,Creature,$1.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Witty Roastmaster,Creature,$2.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$15.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$2.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$549.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$10.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Chainsaw,Artifact,$0.69
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$34.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.79
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.79
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$29.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$18.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$3.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Thought Vessel,Artifact,$3.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$3.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Descent into Avernus,Enchantment,$17.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Impact Tremors,Enchantment,$3.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.99
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$7.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Pyrostatic Pillar,Enchantment,$2.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Repercussion,Enchantment,$9.49
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
Ve1Cbikheb9GOAUP83NuJw,https://moxfield.com/decks/usfVHdp7VE2pMZnYrmtRaw?utm_source=edhrec&utm_medium=deck_summary,3,Spellshock,Enchantment,$2.99
