deck_id,deck_source,cmc,name,type,price
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$4.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$29.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Brash Taunter,Creature,$0.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$2.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.29
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.59
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$2.79
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Gimli, Counter of Kills",Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lightning-Rig Crew,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$2.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Purphoros, God of the Forge",Creature,$27.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.69
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$27.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Spider-Punk,Creature,$4.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$1.79
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$4.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$4.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.49
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$1.99
WObCf3wRRAOFbmcD412iTA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$18.99
