deck_id,deck_source,cmc,name,type,price
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$1.79
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$11.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,Creature,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$4.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Pyrohelix,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$0.79
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Rush of Blood,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Spark Jolt,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$0.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Forked Bolt,Sorcery,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$1.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$1.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Ankh of Mishra,Artifact,$11.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$4.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Hero's Blade,Artifact,$0.35
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Ring of Valkas,Artifact,$0.59
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Shuko,Artifact,$1.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,2,Winter Moon,Artifact,$0.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,4,Aether Sting,Enchantment,$0.49
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$7.99
W_Adx1_7GYi2jsykp7IhZQ,https://moxfield.com/decks/hnaTQnQoSkaiZhpfdrE7iQ?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$3.99
