deck_id,deck_source,cmc,name,type,price
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Anger,Creature,$0.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$47.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$8.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$6.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$7.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.79
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$3.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$2.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.69
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Weftstalker Ardent,Creature,$2.29
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Antagonize,Instant,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Brute Force,Instant,$0.39
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$89.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$7.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Infuriate,Instant,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$0.35
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$7.49
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$8.99
WiLokZUrRHQPAjPIshY-ag,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$11.99
