deck_id,deck_source,cmc,name,type,price
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Sharpshooter,Creature,$32.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Grinning Ignus,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$10.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$11.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Cut Propulsion,Instant,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$4.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,3,Neonate's Rush,Instant,$0.35
X59KN34X_4Wf9hRBEGping,https://archidekt.com/decks/12792442?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.69
