deck_id,deck_source,cmc,name,type,price
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Agate Instigator,Creature,$7.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Brimstone Trebuchet,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"General Kreat, the Boltbringer",Creature,$11.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$6.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lightning-Rig Crew,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lobber Crew,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Molten Gatekeeper,Creature,$0.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Purphoros, God of the Forge",Creature,$29.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.29
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Thundering Raiju,Creature,$0.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Weftstalker Ardent,Creature,$2.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$0.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$2.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$5.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$74.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Redirect Lightning,Instant,$13.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$54.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Shatterskull Smashing,Sorcery,$8.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Vandalblast,Sorcery,$4.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Volcanic Spray,Sorcery,$1.49
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Champion's Helm,Artifact,$1.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Commander's Plate,Artifact,$47.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Darksteel Plate,Artifact,$5.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fellwar Stone,Artifact,$1.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fire Diamond,Artifact,$0.69
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Hammer of Nazahn,Artifact,$14.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hazoret's Monument,Artifact,$2.29
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Heraldic Banner,Artifact,$0.79
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Lightning Greaves,Artifact,$5.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mind Stone,Artifact,$0.39
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Mithril Coat,Artifact,$32.99
XAeQ3p0479o68pI3TUaVgA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$16.99
