deck_id,deck_source,cmc,name,type,price
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$17.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Detritivore,Creature,$2.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$10.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.29
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$1.29
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.59
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Galvanoth,Creature,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Gimli, Counter of Kills",Creature,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$4.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.29
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$29.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Summon: G.F. Cerberus,Creature,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$19.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Voldaren Epicure,Creature,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Weftstalker Ardent,Creature,$2.29
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$3.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$74.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flick a Coin,Instant,$0.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gut Shot,Instant,$5.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$6.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$11.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reverberate,Instant,$4.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$12.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$13.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Volcanic Fallout,Instant,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Boltwave,Sorcery,$3.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Electro's Bolt,Sorcery,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$1.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.69
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Forked Bolt,Sorcery,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$15.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$0.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Heroes' Hangout,Sorcery,$0.35
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$39.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Past in Flames,Sorcery,$1.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Ruination,Sorcery,$2.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Slagstorm,Sorcery,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Vandalblast,Sorcery,$3.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Wheel of Misfortune,Sorcery,$9.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Wrenn's Resolve,Sorcery,$2.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blackblade Reforged,Artifact,$3.49
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Champion's Helm,Artifact,$1.79
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Extraplanar Lens,Artifact,$12.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Nyx Lotus,Artifact,$7.99
Xf5DkhqYbM3eFZUaY3-b0Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$13.99
