deck_id,deck_source,cmc,name,type,price
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ashling the Pilgrim,Creature,$0.49
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Brimstone Vandal,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chandra's Phoenix,Creature,$0.49
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,7,"Drakuseth, Maw of Flames",Creature,$0.79
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Everflame Eidolon,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Falkenrath Exterminator,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Furnace Punisher,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Grim Lavamancer,Creature,$0.49
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.69
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lobber Crew,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Mindsparker,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Orcish Artillery,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Purphoros's Emissary,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Spikeshot Goblin,Creature,$0.35
Xn00mH-g2Ban8gwsCg_OJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Spireside Infiltrator,Creature,$0.35
