deck_id,deck_source,cmc,name,type,price
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,4,Obsidian Fireheart,Creature,$1.29
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,5,Pyroclastic Hellion,Creature,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,Creature,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$1.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.79
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.69
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Rush of Blood,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.79
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$8.99
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
ZYCC1Omf7hhP0M-yEvQYZw,https://archidekt.com/decks/6679966?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
