deck_id,deck_source,cmc,name,type,price
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$4.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,6,Fiendish Duo,Creature,$3.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$29.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$10.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.29
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Scab-Clan Berserker,Creature,$0.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$37.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.69
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$5.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$99.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$7.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.59
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$18.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$13.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$20.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$2.29
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$1.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$34.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$42.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$3.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,5,Throne of Eldraine,Artifact,$39.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$10.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$3.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Cool but Rude,Enchantment,$11.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$1.29
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Planar Chaos,Enchantment,$2.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Powerbalance,Enchantment,$0.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$14.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,Fire Nation Palace,Land,$2.79
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,Shivan Gorge,Land,$1.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,Tyrite Sanctum,Land,$4.49
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,Urza's Saga,Land,$47.99
_47C-PRZd6hot1U3NrPwQQ,https://moxfield.com/decks/EykFbJR3MEu0v1DtmIDrEw?utm_source=edhrec&utm_medium=deck_summary,0,"Valakut, the Molten Pinnacle",Land,$21.99
