deck_id,deck_source,cmc,name,type,price
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$11.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Lobber Crew,Creature,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$7.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,5,"Slash, Reptile Rampager",Creature,$0.69
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.39
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Witty Roastmaster,Creature,$2.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.59
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Boiling Seas,Sorcery,$2.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$2.29
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,9,Worldfire,Sorcery,$44.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$32.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Heraldic Banner,Artifact,$0.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.59
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$34.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$18.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$4.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,1,Dragon Mantle,Enchantment,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$0.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Impact Tremors,Enchantment,$4.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$4.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$6.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.79
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Spellshock,Enchantment,$2.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.49
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Tavern Brawler,Enchantment,$0.35
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Exploration,Enchantment,$3.99
_hxTtLQ15ZQoTLAvoVCWKg,https://moxfield.com/decks/tp737yC0n0ui0B1wvRMUXQ?utm_source=edhrec&utm_medium=deck_summary,5,Virtue of Courage,Enchantment,$2.79
