deck_id,deck_source,cmc,name,type,price
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Akoum Hellkite,Creature,$0.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,7,Angrath's Marauders,Creature,$0.69
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Brash Taunter,Creature,$1.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$4.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Chandra's Magmutt,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Dragonhawk, Fate's Tempest",Creature,$9.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$6.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.59
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hearthborn Battler,Creature,$0.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Kindlespark Duo,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$5.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Molten Gatekeeper,Creature,$0.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Scytheclaw Raptor,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$29.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$4.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Tunneling Geopede,Creature,$0.69
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$2.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Burst Lightning,Instant,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.69
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Needle Drop,Instant,$1.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$4.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Unleash Fury,Instant,$0.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Boltwave,Sorcery,$3.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.69
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$17.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magic Missile,Sorcery,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Rain of Embers,Sorcery,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Ranger's Firebrand,Sorcery,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Twinflame,Sorcery,$5.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Vandalblast,Sorcery,$3.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blackblade Reforged,Artifact,$3.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Champion's Helm,Artifact,$2.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Colossus Hammer,Artifact,$1.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Darksteel Plate,Artifact,$6.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Gauntlet of Power,Artifact,$3.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Heraldic Banner,Artifact,$0.79
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$16.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sol Ring,Artifact,$1.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Swiftfoot Boots,Artifact,$3.49
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Claws of Valakut,Enchantment,$0.35
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Draconic Destiny,Enchantment,$0.99
_iRGV7EDDMU5rh1s2zv_lg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Fiery Inscription,Enchantment,$0.99
