deck_id,deck_source,cmc,name,type,price
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$20.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$3.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$3.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Commune with Lava,Instant,$0.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$5.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Fault Line,Instant,$4.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.69
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.29
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$13.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$5.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$14.99
aA1tSHgp3xwMoEbHuAajQg,https://moxfield.com/decks/HlprwdjSCE2T5L_uw5H2lA?utm_source=edhrec&utm_medium=deck_summary,1,Spark Jolt,Instant,$0.35
