deck_id,deck_source,cmc,name,type,price
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$47.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$4.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$8.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$54.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.59
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$29.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$89.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.29
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$11.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$23.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$20.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.79
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.29
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.49
bDAl0X6bWRSIeVWPloenEA,https://archidekt.com/decks/22313417?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$14.99
