deck_id,deck_source,cmc,name,type,price
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$2.29
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.59
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$6.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$37.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Rug of Smothering,Creature,$1.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$24.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$6.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$59.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Strike,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$2.79
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$8.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Spark Jolt,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Sudden Shock,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$7.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.69
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$3.49
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$1.29
bRLYDLRjKFdRYtrWjDJ8Ug,https://moxfield.com/decks/zCNcGgAnLUaI77Jz-Rivzg?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
