deck_id,deck_source,cmc,name,type,price
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Bonecrusher Giant,Creature,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$1.29
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,6,Inferno Titan,Creature,$0.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Scab-Clan Berserker,Creature,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Silent Arbiter,Creature,$15.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Solemn Simulacrum,Creature,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Spiteful Prankster,Creature,$0.59
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$3.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$15.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.69
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$6.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Pyromatics,Instant,$0.35
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Skullcrack,Instant,$0.35
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Unexpected Windfall,Instant,$3.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Forked Bolt,Sorcery,$0.35
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$3.49
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.79
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$44.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Crawlspace,Artifact,$8.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Fire Nation Turret,Artifact,$18.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,4,Hammer of Nazahn,Artifact,$13.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,3,Heraldic Banner,Artifact,$0.99
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Hero's Blade,Artifact,$0.35
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,1,Lavaspur Boots,Artifact,$2.29
bhqNwZufta8yVpy4I35h1Q,https://moxfield.com/decks/GLl4_mr07Um_83-m5ydv2A?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.39
