deck_id,deck_source,cmc,name,type,price
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$47.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$29.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$11.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,Naktamun Lorespinner,Creature,$2.79
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$4.49
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$32.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$23.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$23.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,War Elemental,Creature,$4.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.39
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.49
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$7.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$7.49
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.49
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$17.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,Reiterate,Instant,$24.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Spark Spray,Instant,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.79
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.39
bwZ7sRkYO5wvFmN4dk7nAQ,https://archidekt.com/decks/22702734?utm_source=edhrec&utm_medium=deck_summary,4,Unexpected Windfall,Instant,$5.49
