deck_id,deck_source,cmc,name,type,price
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Agitator Ant,Creature,$0.59
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Boundary Lands Ranger,Creature,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Fanatic of Mogis,Creature,$0.69
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$4.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Dreadmaw's Ire,Instant,$0.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$6.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$3.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$13.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$2.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Fireball,Sorcery,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Flame Rift,Sorcery,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$15.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$39.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$3.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Plate,Artifact,$5.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Diamond Pick-Axe,Artifact,$0.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.59
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Hero's Blade,Artifact,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$13.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,5,Throne of Eldraine,Artifact,$34.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$7.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,1,Dragon Mantle,Enchantment,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$1.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$4.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Powerbalance,Enchantment,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$10.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Repercussion,Enchantment,$9.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,2,Tectonic Reformation,Enchantment,$0.49
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,5,Virtue of Courage,Enchantment,$2.79
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,0,Ancient Tomb,Land,$109.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,0,Myriad Landscape,Land,$0.35
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,0,"Nykthos, Shrine to Nyx",Land,$64.99
cFSYgwD5E10AraaCK6XdWA,https://moxfield.com/decks/CNgwEr7V_keo1ZG5K_l6JQ?utm_source=edhrec&utm_medium=deck_summary,0,Spinerock Knoll,Land,$0.99
