deck_id,deck_source,cmc,name,type,price
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,1,Dragon's Rage Channeler,Creature,$2.29
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$9.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Mysidian Elder,Creature,$0.35
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.49
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.39
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$69.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$5.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.99
cVSUjFXD1uc0-yM_cIuEeg,https://moxfield.com/decks/VUQS58s3uE6OxJjsvfVBGw?utm_source=edhrec&utm_medium=deck_summary,1,Full Bore,Instant,$0.79
