deck_id,deck_source,cmc,name,type,price
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,4,Barbflare Gremlin,Creature,$0.59
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$2.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$4.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Hissing Iguanar,Creature,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Spiteful Prankster,Creature,$0.59
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$4.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.69
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$11.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$14.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Wild Slash,Instant,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,3,Acidic Soil,Sorcery,$1.49
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Arc Trail,Sorcery,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Boiling Earth,Sorcery,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Flame Jab,Sorcery,$0.35
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
cdJjs_tu8W025rfDKEFoPw,https://moxfield.com/decks/ygYpbkGxl0WGkrit3aqvrQ?utm_source=edhrec&utm_medium=deck_summary,1,Hell to Pay,Sorcery,$0.99
