deck_id,deck_source,cmc,name,type,price
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$2.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$2.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.69
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$69.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.69
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.29
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$5.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.79
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$1.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$1.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.35
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.49
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.99
d-tlGg3Rna1mVxjG8zse9A,https://archidekt.com/decks/9585534?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$42.99
