deck_id,deck_source,cmc,name,type,price
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$34.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.39
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Generous Plunderer,Creature,$12.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goblin Welder,Creature,$16.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$3.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Pain Distributor,Creature,$5.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.79
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Fireweaver,Creature,$0.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$1.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sunshot Militia,Creature,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Toralf, God of Fury",Creature,$5.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.69
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$18.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Vengeful Tracker,Creature,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Weftstalker Ardent,Creature,$2.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.79
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$79.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$6.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$12.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Unexpected Windfall,Instant,$2.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Untimely Malfunction,Instant,$7.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Valakut Awakening,Instant,$14.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Wild Magic Surge,Instant,$2.29
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$3.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Chain Reaction,Sorcery,$0.69
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.69
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$32.99
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Light Up the Stage,Sorcery,$0.35
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Mizzix's Mastery,Sorcery,$3.49
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Past in Flames,Sorcery,$1.79
dFqqfzcMhdhnuakbhRjF8A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seize the Spoils,Sorcery,$1.29
