deck_id,deck_source,cmc,name,type,price
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Magmutt,Creature,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$1.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$10.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$39.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.49
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$24.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$5.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.39
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.39
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$14.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Spark Spray,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$23.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$2.29
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$2.29
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.49
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Seize the Spoils,Sorcery,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Tormenting Voice,Sorcery,$0.35
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.59
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.69
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,5,Pyromancer's Goggles,Artifact,$0.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.79
eQabBGQa7PXszPSkerNxQw,https://moxfield.com/decks/FoQbwPqa-ky8mNkOCj97CQ?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$4.49
