deck_id,deck_source,cmc,name,type,price
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.49
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$2.99
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,3,"Laelia, the Blade Reforged",Creature,$0.99
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$3.49
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.79
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.79
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.49
eoyZLbZK-6REb7k3J390Fg,https://moxfield.com/decks/qIEdfYuy_0CJLxvhTBZv0Q?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
