deck_id,deck_source,cmc,name,type,price
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,4,Ardent Elementalist,Creature,$0.35
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$3.99
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,6,"Etali, Primal Storm",Creature,$0.59
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,1,Fanatical Firebrand,Creature,$0.35
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
f3hGrcxiA8ad4g-eYTOL-A,https://moxfield.com/decks/uoBAkFEzqUOzOsdPuY2EaA?utm_source=edhrec&utm_medium=deck_summary,4,"Imodane, the Pyrohammer",Creature,$0.59
