deck_id,deck_source,cmc,name,type,price
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.79
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,1,Dragon's Rage Channeler,Creature,$1.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$6.49
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$18.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$17.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$59.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.49
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$27.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.49
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,5,Twinflame Tyrant,Creature,$34.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Comet Storm,Instant,$3.49
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$5.49
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,2,Final Fortune,Instant,$17.99
fVVBEpMm4S016zfCK5dRIQ,https://moxfield.com/decks/_QuqDHzjwU2gnA8WavOHIw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
