deck_id,deck_source,cmc,name,type,price
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.29
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.79
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$4.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$1.49
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.35
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$8.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
fZFv2PDTTFVOBmMAKxI-Tg,https://archidekt.com/decks/19908660?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$4.49
