deck_id,deck_source,cmc,name,type,price
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$44.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Brimstone Trebuchet,Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.79
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,5,Fury,Creature,$1.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,"General Kreat, the Boltbringer",Creature,$9.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Giant Cindermaw,Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Molten Gatekeeper,Creature,$0.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.29
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Witty Roastmaster,Creature,$1.79
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$6.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.59
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$11.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$16.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.69
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$3.49
gAn3bKX5zagBTTyovqxsUg,https://moxfield.com/decks/NE6fAQ8jO32qt70HlhcM4w?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
