deck_id,deck_source,cmc,name,type,price
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$89.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$7.49
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.29
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,6,Pyrokinesis,Instant,$2.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$17.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,1,Rending Volley,Instant,$0.35
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
hPu0lj-c72X5dDjkxf_dhQ,https://moxfield.com/decks/gq9uoXibFEuQD4p2fEWiCQ?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.49
