deck_id,deck_source,cmc,name,type,price
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$5.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$34.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.39
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$3.49
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$10.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$4.49
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Treasonous Ogre,Creature,$12.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$18.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Young Pyromancer,Creature,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.99
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Zookeeper Mechan,Creature,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Zurzoth, Chaos Rider",Creature,$1.29
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Arcbond,Instant,$1.49
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.79
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.49
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Brute Force,Instant,$0.35
hquN-ojGo6IU6AFdgQw5_w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$1.49
