deck_id,deck_source,cmc,name,type,price
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Dragon's Rage Channeler,Creature,$1.29
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$6.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$3.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Professional Face-Breaker,Creature,$5.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$37.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$6.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$59.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$3.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$8.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,6,Pyrokinesis,Instant,$2.79
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.69
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Flame Jab,Sorcery,$0.35
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
hyW_a9CcpVTViXSU2PyuSQ,https://moxfield.com/decks/i7RvoUsSrE63xKV1VRTXaQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
