deck_id,deck_source,cmc,name,type,price
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.69
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$159.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,2,Grim Monolith,Artifact,$599.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.49
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$39.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$119.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Mox Diamond,Artifact,$1599.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.29
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,4,The One Ring,Artifact,$109.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$0.79
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Ancient Tomb,Land,$129.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Arid Mesa,Land,$39.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Bloodstained Mire,Land,$22.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,City of Traitors,Land,$649.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Crystal Vein,Land,$7.49
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Gemstone Caverns,Land,$74.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Prismatic Vista,Land,$29.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Sandstone Needle,Land,$5.49
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Scalding Tarn,Land,$44.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Urza's Saga,Land,$54.99
iKafQnOUyffY81y-sOZbBw,https://moxfield.com/decks/wO7WI0dEU02un_YieqawDA?utm_source=edhrec&utm_medium=deck_summary,0,Wooded Foothills,Land,$21.99
