deck_id,deck_source,cmc,name,type,price
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Anje's Ravager,Creature,$0.79
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$4.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$4.49
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.39
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.29
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Fear of Burning Alive,Creature,$0.35
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goldhound,Creature,$0.59
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hammer Mage,Creature,$0.35
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hissing Iguanar,Creature,$0.35
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Immolation Shaman,Creature,$0.69
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Lavaleaper,Creature,$0.49
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Livaan, Cultist of Tiamat",Creature,$0.35
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$12.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.49
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$8.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Pain Distributor,Creature,$6.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.29
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Scab-Clan Berserker,Creature,$0.49
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.69
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikeshot Elder,Creature,$0.49
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Chandra's Ignition,Sorcery,$10.99
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$1.79
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.79
iYCnOlIpCTmygYFUapIYYA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
