deck_id,deck_source,cmc,name,type,price
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,5,Bonehoard Dracosaur,Creature,$14.99
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$2.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Furnace Punisher,Creature,$0.35
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,5,Heartless Hidetsugu,Creature,$4.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Rug of Smothering,Creature,$1.79
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.99
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Stoneshaker Shaman,Creature,$0.79
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$2.79
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Treasure Nabber,Creature,$3.99
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,2,Tunnel Ignus,Creature,$0.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Viashino Heretic,Creature,$0.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,3,Guff Rewrites History,Instant,$5.99
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
ipu-yQnvVMY9DLkqSDAKpg,https://moxfield.com/decks/XF9R370bJ0OWyOSfCGUZRw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
