deck_id,deck_source,cmc,name,type,price
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$2.29
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$7.99
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$4.99
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,1,Goblin Fireslinger,Creature,$0.35
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.35
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$24.99
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,3,"Kratos, God of War",Creature,$54.99
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,4,Lavaleaper,Creature,$0.49
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
iq7YlILGBNu6j7VxAPSz7w,https://archidekt.com/decks/17373105?utm_source=edhrec&utm_medium=deck_summary,4,Silent Arbiter,Creature,$17.99
