deck_id,deck_source,cmc,name,type,price
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$37.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.29
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$1.29
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.39
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$6.49
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.29
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$5.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$4.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Ox of Agonas,Creature,$0.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.29
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$2.49
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.69
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blazing Crescendo,Instant,$1.29
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$5.49
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$74.99
ivC6ozKzT-JKZkpghb0SOw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fists of Flame,Instant,$0.49
