deck_id,deck_source,cmc,name,type,price
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Brass Squire,Creature,$1.29
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$22.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$8.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$32.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,The Red Terror,Creature,$6.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.39
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Smashing Success,Instant,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Solstice Revelations,Instant,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$2.29
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,5,Chandra's Ignition,Sorcery,$6.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$1.29
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$4.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$4.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.29
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Colossus Hammer,Artifact,$1.79
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$47.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Cursed Mirror,Artifact,$2.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Plate,Artifact,$5.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Endless Atlas,Artifact,$2.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Fiendlash,Artifact,$0.39
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.69
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Hammer of Nazahn,Artifact,$16.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Hero's Blade,Artifact,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.39
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.29
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Sword of the Animist,Artifact,$8.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,"Tenza, Godo's Maul",Artifact,$1.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Tormentor's Helm,Artifact,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,5,All Will Be One,Enchantment,$29.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Blacksmith's Talent,Enchantment,$0.35
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$3.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,2,Impact Tremors,Enchantment,$3.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$8.99
k_x8rdahMf-kaJu4TYowww,https://moxfield.com/decks/imOdVz6O4EaEUUlhiCC_Jg?utm_source=edhrec&utm_medium=deck_summary,1,Quest for Pure Flame,Enchantment,$0.35
