deck_id,deck_source,cmc,name,type,price
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.29
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,1,Grim Lavamancer,Creature,$0.79
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,Hazoret the Fervent,Creature,$0.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$34.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,"Toralf, God of Fury",Creature,$7.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,Boil,Instant,$0.39
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Brimstone Volley,Instant,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Calibrated Blast,Instant,$0.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Comet Storm,Instant,$3.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,7,Inferno,Instant,$0.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Punishing Fire,Instant,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Risk Factor,Instant,$1.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Shunt,Instant,$1.29
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Skullcrack,Instant,$0.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,6,Thunderous Wrath,Instant,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,Violent Eruption,Instant,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,5,Apocalypse,Sorcery,$8.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,1,Bonfire of the Damned,Sorcery,$2.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Crackle with Power,Sorcery,$7.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,8,Obliterate,Sorcery,$3.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,4,Past in Flames,Sorcery,$3.49
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Rift Bolt,Sorcery,$0.35
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.29
kwFFGvG-UWO2RmJkUpIvAA,https://moxfield.com/decks/q0MdzA_Yx0iIzTCzMRaRtg?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Plate,Artifact,$5.99
