deck_id,deck_source,cmc,name,type,price
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$29.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.29
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$2.79
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$5.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Imperial Recruiter,Creature,$14.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.29
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$2.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$29.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$18.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$5.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$69.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$13.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$2.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fork,Instant,$24.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gut Shot,Instant,$5.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.79
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$1.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Play with Fire,Instant,$0.39
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$5.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$8.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$9.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$4.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$9.49
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$11.99
kyt50-kZGab6Mm0aKu5xvA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Valakut Awakening,Instant,$15.99
