deck_id,deck_source,cmc,name,type,price
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,"Cait Sith, Fortune Teller",Creature,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,"Inti, Seneschal of the Sun",Creature,$3.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Loyal Apprentice,Creature,$0.59
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Satyr Firedancer,Creature,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Solemn Simulacrum,Creature,$0.59
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Spireside Infiltrator,Creature,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.39
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Tectonic Giant,Creature,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Cast into the Fire,Instant,$1.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Commune with Lava,Instant,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$13.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Expedite,Instant,$0.59
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Fateful Showdown,Instant,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Guff Rewrites History,Instant,$4.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Spark Jolt,Instant,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Twin Bolt,Instant,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$2.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Banefire,Sorcery,$1.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Into the Fire,Sorcery,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Ranger's Firebrand,Sorcery,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Commander's Sphere,Artifact,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$2.29
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Heraldic Banner,Artifact,$0.59
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$6.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$11.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Sword of the Animist,Artifact,$7.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$0.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Furious Rise,Enchantment,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,8,Glassworks // Shattered Yard,Enchantment,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,2,Impact Tremors,Enchantment,$2.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$4.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$14.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,3,Rising of the Day,Enchantment,$0.79
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,0,Arena of Glory,Land,$10.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,0,Flamekin Village,Land,$2.49
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,0,Hammerheim,Land,$19.99
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
lZoOdF2LViv8mEcGxtLt6A,https://moxfield.com/decks/sy-NEMQU40KdH4TERgsqIA?utm_source=edhrec&utm_medium=deck_summary,0,"Sokenzan, Crucible of Defiance",Land,$2.79
