deck_id,deck_source,cmc,name,type,price
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$39.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Firebending Student,Creature,$0.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$12.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Sunset Strikemaster,Creature,$0.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,5,"Thor, Guardian of Midgard",Creature,$2.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Zookeeper Mechan,Creature,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Ancestors' Aid,Instant,$0.39
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$7.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Electrickery,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$5.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$6.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Ransacking,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$18.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$4.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Spark Spray,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Spawning Breath,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Sudden Breakthrough,Instant,$0.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$17.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$13.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Vivi's Persistence,Instant,$64.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Asgardian Inspiration,Sorcery,$0.59
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$37.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.29
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Hawkeye's Bow,Artifact,$0.35
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.69
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.79
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,3,Repercussion,Enchantment,$13.99
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,0,"Lindblum, Industrial Regency",Land,$4.49
l_Vsx9IvL9bS5QNcvfkU9Q,https://moxfield.com/decks/NV0TDN_bUUO3UcLdjkUnSA?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
