deck_id,deck_source,cmc,name,type,price
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.59
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$13.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$12.99
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
l_lZq2Md-UNCpqzF9mvO7Q,https://moxfield.com/decks/eNLTs2VTNkSbw_QFpuChMQ?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.99
