deck_id,deck_source,cmc,name,type,price
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,4,Anger,Creature,$1.79
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,Grinning Ignus,Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Harmonic Prodigy,Creature,$8.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,"Kediss, Emberclaw Familiar",Creature,$5.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$29.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,0,"Rograkh, Son of Rohgahh",Creature,$2.29
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$0.69
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Antagonize,Instant,$0.35
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.49
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.99
ljln-n7kNv3AsxDH0UVMsw,https://moxfield.com/decks/h6dDzntWsku-OjBkwCHbhg?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.39
