deck_id,deck_source,cmc,name,type,price
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$8.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$37.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,"Clive, Ifrit's Dominant",Creature,$5.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$8.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.35
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hexing Squelcher,Creature,$34.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Livaan, Cultist of Tiamat",Creature,$0.35
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$13.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.79
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$10.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$2.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thunderdrum Soloist,Creature,$0.35
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.35
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$99.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$1.79
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flare of Duplication,Instant,$3.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$1.79
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$6.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$7.49
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$14.99
n5w0GuSLVeTAEz97fefYzw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$6.99
