deck_id,deck_source,cmc,name,type,price
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$3.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$29.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,6,"Clive, Ifrit's Dominant",Creature,$3.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Harmonic Prodigy,Creature,$12.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.69
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Izzet Chemister,Creature,$0.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,"Magda, the Hoardmaster",Creature,$0.79
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.69
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$20.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$6.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Cathartic Pyre,Instant,$0.59
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Crimson Wisps,Instant,$2.29
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$64.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.79
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Electrickery,Instant,$0.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Expedite,Instant,$0.59
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Free from Flesh,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Galvanic Blast,Instant,$3.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Gimli's Fury,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Ricochet Trap,Instant,$0.59
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Rush of Adrenaline,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Samut's Sprint,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$9.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$11.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.79
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$16.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Crash Through,Sorcery,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Reckless Charge,Sorcery,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$7.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Wild Guess,Sorcery,$0.35
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Nyx Lotus,Artifact,$7.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$10.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Aether Sting,Enchantment,$0.39
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$0.99
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Power Surge,Enchantment,$1.29
nB0Ol_hW9QmoL8vHZejNAw,https://archidekt.com/decks/14571125?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$1.79
