deck_id,deck_source,cmc,name,type,price
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,Anger,Creature,$2.29
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,3,Combat Celebrant,Creature,$1.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,"Delina, Wild Mage",Creature,$9.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,"Etali, Primal Storm",Creature,$0.59
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,7,Flaming Tyrannosaurus,Creature,$5.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,Hellkite Courser,Creature,$7.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,"Jaxis, the Troublemaker",Creature,$2.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,Keeper of Secrets,Creature,$13.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,5,Mindclaw Shaman,Creature,$0.35
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,Mirage Phalanx,Creature,$2.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,Nalfeshnee,Creature,$12.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,"Orthion, Hero of Lavabrink",Creature,$7.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,5,Plargg and Nassari,Creature,$3.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,6,Soul of New Phyrexia,Creature,$1.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,3,"Squee, the Immortal",Creature,$0.79
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,5,Urabrask the Hidden,Creature,$2.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$13.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,8,Call Forth the Tempest,Sorcery,$13.99
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,2,Cathartic Reunion,Sorcery,$0.35
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.59
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,7,Fury of the Horde,Sorcery,$6.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,7,Hit the Mother Lode,Sorcery,$0.49
nW854HSoKgp1uX-eLPOuXA,https://archidekt.com/decks/12551940?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.99
