deck_id,deck_source,cmc,name,type,price
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$39.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Dragon's Rage Channeler,Creature,$1.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$9.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$32.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$12.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$11.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$39.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,The Vision and Scarlet Witch,Creature,$49.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,5,"Thor, God of Thunder",Creature,$22.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$13.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$6.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$19.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$16.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$13.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$24.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$3.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Flame Rift,Sorcery,$0.69
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Heat Shimmer,Sorcery,$7.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,5,Prisoner's Dilemma,Sorcery,$6.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$8.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$7.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Rolling Earthquake,Sorcery,$4.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$14.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Twinflame,Sorcery,$1.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.29
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$499.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$9.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$6.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Wrenn's Resolve,Sorcery,$3.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$179.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Lion's Eye Diamond,Artifact,$949.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$119.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.69
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.79
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,1,Soul-Guide Lantern,Artifact,$0.35
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Tablet of Discovery,Artifact,$2.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,4,The One Ring,Artifact,$119.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Artist's Talent,Enchantment,$9.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$9.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Cool but Rude,Enchantment,$12.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,Repercussion,Enchantment,$13.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,3,The Rollercrusher Ride,Enchantment,$1.29
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,2,Underworld Breach,Enchantment,$11.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Ancient Tomb,Land,$149.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Arena of Glory,Land,$9.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Geier Reach Sanitarium,Land,$4.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Gemstone Caverns,Land,$64.99
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,"Sokenzan, Crucible of Defiance",Land,$4.49
neQxIlEA139ooJFY1Bu_Kg,https://moxfield.com/decks/s3KW2IrnM0uA60MTj2XNcA?utm_source=edhrec&utm_medium=deck_summary,0,War Room,Land,$5.49
