deck_id,deck_source,cmc,name,type,price
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$9.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,4,Lambholt Raconteur,Creature,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$12.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Expedite,Instant,$0.59
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Fault Line,Instant,$4.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$5.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,GUT SHOT,Instant,
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$0.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Opera Love Song,Instant,$0.39
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$13.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$6.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$19.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Seize Opportunity,Instant,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$16.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$12.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$23.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$1.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$2.29
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.49
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.79
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,1,Reckless Charge,Sorcery,$0.35
nhD7r6zWTFy0DWgz8mu8pw,https://moxfield.com/decks/hb5DAVV_WEmqbyVU-Y9xDA?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.49
