deck_id,deck_source,cmc,name,type,price
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$4.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Ball Lightning,Creature,$0.79
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$2.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Chandra, Fire of Kaladesh",Creature,$2.79
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.29
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.79
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$5.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$2.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$27.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$4.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$19.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$18.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Burst Lightning,Instant,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$69.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$13.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$2.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gut Shot,Instant,$5.49
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$1.29
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.79
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Needle Drop,Instant,$1.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$9.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$8.99
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
oCy9l0hSifhVkTlG4pqyhQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
