deck_id,deck_source,cmc,name,type,price
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$10.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$8.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$4.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,6,"Clive, Ifrit's Dominant",Creature,$4.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$1.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Glint-Horn Buccaneer,Creature,$11.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Sharpshooter,Creature,$32.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$11.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Magmakin Artillerist,Creature,$0.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$8.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Cathartic Pyre,Instant,$0.39
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Skullcrack,Instant,$0.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$24.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Boulder Dash,Sorcery,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$20.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$11.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$5.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Winds of Change,Sorcery,$7.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.69
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$179.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Expedition Map,Artifact,$2.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$15.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Glittering Stockpile,Artifact,$0.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Monument to Endurance,Artifact,$24.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$18.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Sceptre of Eternal Glory,Artifact,$29.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Tablet of Discovery,Artifact,$1.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,Tarrian's Soulcleaver,Artifact,$2.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,5,Throne of Eldraine,Artifact,$42.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,1,World Map,Artifact,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Artist's Talent,Enchantment,$9.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$4.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Glacial Crevasses,Enchantment,$2.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Maddening Hex,Enchantment,$4.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$3.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Spellshock,Enchantment,$2.29
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,Tavern Brawler,Enchantment,$0.35
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Dressed to Kill",Planeswalker,$2.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,"Lindblum, Industrial Regency",Land,$3.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Myriad Landscape,Land,$0.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Scrying Sheets,Land,$2.49
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Snow-Covered Mountain,Land,$0.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Terrain Generator,Land,$1.99
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,Thespian's Stage,Land,$0.79
oZK6Og5GKwX-Tn5LtJ6Raw,https://moxfield.com/decks/WPSvU2M5X0mHZumRe8a7eQ?utm_source=edhrec&utm_medium=deck_summary,0,"Valakut, the Molten Pinnacle",Land,$19.99
