deck_id,deck_source,cmc,name,type,price
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Brimstone Trebuchet,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Chandra's Magmutt,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Chandra, Fire of Kaladesh",Creature,$2.49
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cunning Sparkmage,Creature,$0.39
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.49
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.79
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Fervent Paincaster,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Frostwielder,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"General Kreat, the Boltbringer",Creature,$13.99
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Goblin Chainwhirler,Creature,$1.29
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goblin Fireslinger,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Hellrider,Creature,$0.99
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hissing Iguanar,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.99
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lightning-Rig Crew,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Lobber Crew,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Nettle Drone,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Prodigal Pyromancer,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.49
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.39
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.39
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Viashino Pyromancer,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Vithian Stinger,Creature,$0.35
q9AbBdqVUwljAUE-2DEM5Q,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.49
