deck_id,deck_source,cmc,name,type,price
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,7,Angrath's Marauders,Creature,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$1.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Magmutt,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Cunning Sparkmage,Creature,$0.79
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$0.79
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Goblin Fireslinger,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Iron Myr,Creature,$1.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Lobber Crew,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,Overlord of the Boilerbilges,Creature,$3.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,5,Panicked Altisaur,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.29
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Sisters of the Flame,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Star Athlete,Creature,$0.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Vulshok Sorcerer,Creature,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Balduvian Rage,Instant,$0.59
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Flare,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Incinerate,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Magma Jet,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Molten Influence,Instant,$7.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$12.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Pyromatics,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,4,Repeated Reverberation,Instant,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$4.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,4,Unexpected Windfall,Instant,$3.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Browbeat,Sorcery,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$2.29
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Flame Rift,Sorcery,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.29
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Honor the God-Pharaoh,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Fury,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,1,Shattering Spree,Sorcery,$0.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Sizzle,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Skewer the Critics,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Tormenting Voice,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Wild Guess,Sorcery,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Regulator,Artifact,$0.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Crawlspace,Artifact,$8.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$12.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,2,Winter Moon,Artifact,$1.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,8,City on Fire,Enchantment,$14.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,Fiery Emancipation,Enchantment,$20.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,3,The Rollercrusher Ride,Enchantment,$0.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,"Chandra, Awakened Inferno",Planeswalker,$11.99
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,"Chandra, Bold Pyromancer",Planeswalker,$5.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,6,"Chandra, Hope's Beacon",Planeswalker,$3.49
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,0,Ramunap Ruins,Land,$0.59
qQj8_JwUzMMZdlyjJuxHKQ,https://moxfield.com/decks/wEBavAS8SkGYZ16B8ruY3g?utm_source=edhrec&utm_medium=deck_summary,0,Shivan Gorge,Land,$0.79
