deck_id,deck_source,cmc,name,type,price
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Foundry Inspector,Creature,$0.49
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Goblin Engineer,Creature,$9.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,1,Goblin Welder,Creature,$16.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$15.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,5,Kuldotha Forgemaster,Creature,$9.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Myr Retriever,Creature,$2.49
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,9,Void Winnower,Creature,$23.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,5,Wandering Archaic,Creature,$11.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$16.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.79
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$6.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$8.49
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$14.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,7,All Is Dust,Sorcery,$3.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$14.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Handling,Sorcery,$0.49
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$8.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Trash for Treasure,Sorcery,$2.29
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,3,Basalt Monolith,Artifact,$3.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,0,Chalice of the Void,Artifact,$19.99
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,4,Clock of Omens,Artifact,$4.49
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Cursed Totem,Artifact,$0.79
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,2,Damping Sphere,Artifact,$0.59
qbY_kOvq6SbGR-I4eYDzDw,https://archidekt.com/decks/17217561?utm_source=edhrec&utm_medium=deck_summary,9,Darksteel Forge,Artifact,$54.99
