deck_id,deck_source,cmc,name,type,price
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$39.99
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$9.99
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$11.99
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
qr9aTE9P5SU5_ZH_p5YtJw,https://moxfield.com/decks/_2lPkm8h0UqWHMQFeaclVQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
