deck_id,deck_source,cmc,name,type,price
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.79
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$6.99
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,6,"Godo, Bandit Warlord",Creature,$1.49
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,4,Lavaleaper,Creature,$0.49
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.49
rERdBnmeF6FW-fsR9mKOpQ,https://archidekt.com/decks/17150577?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$32.99
