deck_id,deck_source,cmc,name,type,price
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$47.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Blazing Firesinger,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,4,Lambholt Raconteur,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.29
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$24.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$29.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Burst Lightning,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$89.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Dual Strike,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.59
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.79
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.59
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,1,Rites of Initiation,Instant,$0.35
r_SCIaMs-X1lLSEJaM9TvA,https://moxfield.com/decks/Ylis1w2nyUiyLcG6c_z84g?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
