deck_id,deck_source,cmc,name,type,price
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Myr,Creature,$0.69
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,5,Heartless Hidetsugu,Creature,$2.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$23.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Nemesis,Creature,$7.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$32.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$2.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Burst Lightning,Instant,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Galvanic Blast,Instant,$2.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$6.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.59
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Shunt,Instant,$2.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Wild Slash,Instant,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Wyll's Reversal,Instant,$4.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,5,Apocalypse,Sorcery,$8.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Banefire,Sorcery,$1.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Blaze,Sorcery,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Bonfire of the Damned,Sorcery,$3.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Burn from Within,Sorcery,$0.59
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Crater's Claws,Sorcery,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Devil's Play,Sorcery,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$0.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$2.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,5,Epicenter,Sorcery,$5.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Firebolt,Sorcery,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Kaervek's Torch,Sorcery,$0.69
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Pillar of Flame,Sorcery,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$9.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Rift Bolt,Sorcery,$0.35
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Rolling Earthquake,Sorcery,$3.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,1,Winds of Change,Sorcery,$7.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,9,Worldfire,Sorcery,$42.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,6,Aettir and Priwen,Artifact,$7.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Crawlspace,Artifact,$12.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Disruptor Flute,Artifact,$2.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Primal Amulet,Artifact,$21.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Ring of Valkas,Artifact,$1.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$9.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Blood Sun,Enchantment,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,8,City on Fire,Enchantment,$12.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Furnace of Rath,Enchantment,$9.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Impending Disaster,Enchantment,$1.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Leyline of Lightning,Enchantment,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Leyline of Punishment,Enchantment,$4.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Powerbalance,Enchantment,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$7.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,2,Smoke,Enchantment,$7.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,6,"Chandra, Awakened Inferno",Planeswalker,$11.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,Koth of the Hammer,Planeswalker,$1.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,4,"Koth, Fire of Resistance",Planeswalker,$0.49
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,0,Arena of Glory,Land,$16.99
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,0,Detection Tower,Land,$2.79
rd_VECxBFxgV51jNh_65eA,https://archidekt.com/decks/22329158?utm_source=edhrec&utm_medium=deck_summary,0,Dwarven Ruins,Land,$0.79
