deck_id,deck_source,cmc,name,type,price
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,3,Broadside Bombardiers,Creature,$4.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,4,Caves of Chaos Adventurer,Creature,$1.29
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.29
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,6,"Clive, Ifrit's Dominant",Creature,$4.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,4,Fanatic of Mogis,Creature,$0.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,3,"General Kreat, the Boltbringer",Creature,$13.99
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,4,Hellrider,Creature,$0.99
s6ETKlaYSGi681EgwRES-w,https://moxfield.com/decks/9o7vFw6-M0uEC6hdeZaubw?utm_source=edhrec&utm_medium=deck_summary,2,"Inti, Seneschal of the Sun",Creature,$2.79
